Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00308,-0.01905,-0.04607,-0.06508,-0.06013,0.0601,0.0398,0.02115,0.00969,0.00409
,0.6974,0.13825,0.01471,0.00764,0.01123,0.01372,0.04917,0.10935,0.09222,0.05586
Federal Funds Target Rate - Upper Bound,-0.14322,-1.74477,-4.90042,-6.577,-4.5562,4.3752,1.08852,-0.30175,-0.1393,0.02135
,0.9301,0.50964,0.20729,0.19003,0.35034,0.38316,0.79377,0.91165,0.90638,0.96133
GDP US Chained 2012 Dollars QoQ SAAR,-0.04449,-0.09827,-0.18495,-0.24936,-0.24204,0.23859,0.17568,0.10275,0.04567,0.01271
,0.86282,0.81379,0.7627,0.7526,0.753,0.76293,0.78904,0.81065,0.80684,0.85476
ISM Manufacturing PMI SA,0.00522,-0.00747,-0.04962,-0.09636,-0.11509,0.12165,0.10259,0.05946,0.02011,0.00474
,0.82144,0.84198,0.36736,0.17541,0.09609,0.0872,0.08231,0.12303,0.23105,0.44792
US CPI Urban Consumers MoM SA,-0.25411,-0.64432,-1.617,-3.31988,-5.23605,5.48918,6.03454,4.39964,2.05354,0.73278
,0.48117,0.27045,0.05976,0.00281,0,0,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00059,-0.0037,-0.01107,-0.02273,-0.03445,0.03676,0.03818,0.02508,0.00895,0.00206
,0.97769,0.9132,0.82436,0.72418,0.58234,0.56826,0.47528,0.47275,0.55623,0.7162
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-8e-05,-0.00021,-0.00038,-0.00044,-0.0003,0.00029,8e-05,-1e-05,-0,0
,0.04119,0.0012,6e-05,0.00029,0.01254,0.01919,0.43638,0.87548,0.87521,0.682
US Initial Jobless Claims SA,-0.00188,-0.00277,-0.00241,-0.00136,-0.0006,0.00041,0.00011,4e-05,3e-05,2e-05
,0,0,0,0.0001,0.07657,0.24052,0.69411,0.84827,0.75343,0.47028
University of Michigan Consumer Sentiment Index,-0.15762,-0.27086,-0.32632,-0.29393,-0.19129,0.17842,0.07083,0.0143,0.0019,0.00285
,8e-05,3e-05,0.00061,0.01665,0.10868,0.14565,0.48632,0.82961,0.9477,0.79132
R^2,0.25266,0.22951,0.12143,0.05886,0.05046,0.048,0.05637,0.06398,0.07118,0.06671
RMSE,0.40782,0.66084,0.97021,1.25298,1.21826,1.25287,1.04006,0.67931,0.29586,0.10999
nObs,875,875,875,875,875,875,875,875,875,875
