Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Adjusted Retail & Food Services Sales SA Total Monthly % Change,0.00208,-0.00798,-0.03026,-0.03283,0.00318,-0.00683,-0.04351,-0.04214,-0.0195,-0.00665
,0.84172,0.7482,0.55901,0.66006,0.96795,0.93309,0.54054,0.38033,0.40144,0.50604
Conference Board Consumer Confidence SA 1985=100,-0.00178,-0.01041,-0.02633,-0.04137,-0.04618,0.04765,0.04017,0.02522,0.01127,0.00441
,0.50468,0.103,0.04778,0.03102,0.02309,0.02264,0.02789,0.04091,0.05895,0.08556
Federal Funds Target Rate - Upper Bound,0.00098,-0.03663,-0.11542,-0.17868,-0.17161,0.17993,0.11602,0.04368,-0.00224,-0.0104
,0.99852,0.97698,0.96518,0.9626,0.96611,0.96544,0.9745,0.98578,0.9985,0.98374
GDP US Chained 2012 Dollars QoQ SAAR,-0.02654,-0.03481,-0.02881,-0.01259,0.00313,-0.00949,-0.01621,-0.01266,-0.00691,-0.00638
,0.75145,0.86195,0.94492,0.98329,0.99607,0.98843,0.97741,0.97387,0.97053,0.93681
ISM Manufacturing PMI SA,-0.00441,-0.01408,-0.03535,-0.06243,-0.08248,0.08597,0.08334,0.05544,0.02291,0.00642
,0.5594,0.43569,0.3474,0.24961,0.15126,0.1458,0.10666,0.1121,0.17478,0.37625
Philadelphia Fed Business Outlook Survey Diffusion Index Genera,-0.00404,-0.00854,-0.01321,-0.01337,-0.007,0.00647,-0.00067,-0.00263,-0.00111,-7e-05
,0.00153,0.00498,0.03697,0.14252,0.46879,0.51519,0.93858,0.65383,0.69649,0.95324
US CPI Urban Consumers Less Food & Energy MoM SA,-0.21387,-0.78666,-1.94056,-3.14268,-3.69041,3.82135,3.39479,2.22611,1.02779,0.39296
,0.07669,0.00648,0.00127,0.0003,6e-05,6e-05,4e-05,7e-05,0.00015,0.00072
US Durable Goods New Orders Industries MoM SA,-0.00264,-0.00683,-0.01443,-0.02391,-0.03142,0.03231,0.03212,0.0227,0.01092,0.00407
,0.69829,0.67517,0.67079,0.62497,0.54445,0.54446,0.49053,0.47072,0.4735,0.53409
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-1e-05,-8e-05,-0.00022,-0.00031,-0.00024,0.00024,0.0001,2e-05,1e-05,0
,0.55212,0.0102,0.00048,0.00076,0.01452,0.01857,0.27213,0.74511,0.85236,0.79361
US Initial Jobless Claims SA,-0.00036,-0.00081,-0.00134,-0.00148,-0.00098,0.00093,0.00026,-3e-05,-1e-05,1e-05
,0,0,0,0,0.0005,0.00137,0.29988,0.88285,0.87766,0.79259
US PPI Final Demand Less Foods and Energy MoM SA,-0.22605,-0.48191,-0.78504,-0.88756,-0.65105,0.61504,0.28198,0.13025,0.11079,0.07476
,6e-05,0.00033,0.00496,0.02739,0.12653,0.16042,0.4613,0.61441,0.37596,0.16487
University of Michigan Consumer Sentiment Index,-0.02288,-0.09381,-0.21791,-0.29515,-0.247,0.24652,0.13559,0.05932,0.02851,0.01529
,0.08026,0.00272,0.00084,0.00169,0.01305,0.01599,0.12908,0.32545,0.32879,0.22332
R^2,0.11923,0.12141,0.09906,0.07665,0.05033,0.04761,0.0302,0.0254,0.02297,0.01954
RMSE,0.13274,0.31709,0.66051,0.95201,1.00883,1.0375,0.90663,0.61247,0.29639,0.12745
nObs,989,989,989,989,989,989,989,989,989,989
