Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Adjusted Retail & Food Services Sales SA Total Monthly % Change,0.00205,-0.01657,-0.06297,-0.07649,-0.01685,0.01466,-0.05427,-0.06183,-0.03075,-0.01064
,0.94827,0.74695,0.40631,0.43334,0.85734,0.87895,0.48798,0.21771,0.14804,0.1725
Conference Board Consumer Confidence SA 1985=100,-0.00326,-0.02056,-0.04959,-0.06826,-0.05907,0.0589,0.03441,0.01558,0.00655,0.00297
,0.68755,0.11895,0.01095,0.00654,0.01422,0.01726,0.08689,0.22632,0.22988,0.13754
Federal Funds Target Rate - Upper Bound,-0.13279,-1.71638,-4.84799,-6.52303,-4.53849,4.35823,1.11177,-0.27024,-0.12147,0.02793
,0.93444,0.51277,0.21062,0.19076,0.34306,0.37524,0.7808,0.91594,0.91084,0.94404
GDP US Chained 2012 Dollars QoQ SAAR,-0.04884,-0.11569,-0.22196,-0.28768,-0.24975,0.2445,0.14816,0.06982,0.02619,0.00413
,0.84785,0.77966,0.71618,0.71434,0.74071,0.75239,0.81409,0.86271,0.87831,0.94755
ISM Manufacturing PMI SA,0.00532,-0.00787,-0.05055,-0.09524,-0.10849,0.11502,0.09158,0.04928,0.01396,0.00207
,0.81673,0.83282,0.3587,0.1793,0.11123,0.10009,0.10728,0.1762,0.36569,0.71451
Philadelphia Fed Business Outlook Survey Diffusion Index Genera,-0.00026,-0.00262,-0.00457,-0.00344,0.00134,-0.00222,-0.00612,-0.00535,-0.00225,-0.00056
,0.94598,0.6761,0.62133,0.77322,0.90681,0.85015,0.52173,0.38261,0.38612,0.55588
US CPI Urban Consumers Less Food & Energy MoM SA,-0.43489,-1.45532,-3.45081,-5.43639,-6.17734,6.44099,5.47435,3.3241,1.28697,0.36894
,0.23583,0.01472,9e-05,0,0,0,0,0,0,5e-05
US Durable Goods New Orders Industries MoM SA,-0.00047,-0.003,-0.00911,-0.01969,-0.03138,0.03349,0.03586,0.024,0.00876,0.00208
,0.98197,0.92889,0.85451,0.75828,0.60954,0.59547,0.48442,0.46522,0.52942,0.68337
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-8e-05,-0.00021,-0.00038,-0.00044,-0.00029,0.00028,8e-05,-1e-05,-1e-05,0
,0.03823,0.00103,5e-05,0.00025,0.01126,0.01729,0.43618,0.82928,0.81317,0.69916
US Initial Jobless Claims SA,-0.00187,-0.00275,-0.00239,-0.00135,-0.0006,0.00041,0.00012,4e-05,3e-05,2e-05
,0,0,0,0.00011,0.07415,0.23555,0.67132,0.81531,0.70295,0.40281
US PPI Final Demand Less Foods and Energy MoM SA,-0.66592,-1.12188,-1.32705,-1.18389,-0.78463,0.70968,0.29535,0.06445,-0.00255,-0.00983
,0.0001,5e-05,0.00119,0.02445,0.12022,0.17103,0.48332,0.81133,0.98221,0.81472
University of Michigan Consumer Sentiment Index,-0.16083,-0.27564,-0.33279,-0.30764,-0.21887,0.20634,0.10734,0.04461,0.01851,0.0095
,5e-05,2e-05,0.00049,0.01223,0.06324,0.08807,0.27491,0.47882,0.48802,0.33196
R^2,0.24509,0.2267,0.13042,0.07245,0.05614,0.05338,0.04479,0.03879,0.03319,0.02335
RMSE,0.40322,0.655,0.96703,1.24493,1.1955,1.22758,0.99802,0.63956,0.27098,0.09939
nObs,989,989,989,989,989,989,989,989,989,989
