Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Adjusted Retail & Food Services Sales SA Total Monthly % Change,0.00237,-0.01838,-0.06247,-0.06963,-0.00391,-0.00145,-0.06949,-0.06746,-0.02654,-0.00453
,0.89358,0.59707,0.32342,0.42098,0.96405,0.98711,0.35937,0.16968,0.19787,0.55807
Conference Board Consumer Confidence SA 1985=100,-0.00184,-0.01538,-0.0401,-0.05814,-0.05398,0.05478,0.03602,0.01851,0.00788,0.0032
,0.68569,0.08497,0.01365,0.00896,0.01559,0.01725,0.06434,0.142,0.13654,0.10742
Federal Funds Target Rate - Upper Bound,0.01883,-0.46922,-1.53396,-2.18176,-1.63069,1.6188,0.57837,0.04971,-0.00093,0.00513
,0.98342,0.79152,0.63477,0.62138,0.71303,0.72314,0.88121,0.98418,0.9993,0.98963
GDP US Chained 2012 Dollars QoQ SAAR,-0.03822,-0.09439,-0.1899,-0.28011,-0.31357,0.317,0.27783,0.18905,0.09869,0.04495
,0.78918,0.73599,0.70923,0.68762,0.65383,0.66002,0.64899,0.63253,0.5519,0.47015
ISM Manufacturing PMI SA,0.00035,-0.01119,-0.0441,-0.07857,-0.08992,0.09546,0.07805,0.04411,0.01477,0.00438
,0.97842,0.65757,0.3371,0.21131,0.15414,0.14215,0.15645,0.21624,0.32367,0.43481
Philadelphia Fed Business Outlook Survey Diffusion Index Genera,-0.00316,-0.00668,-0.00982,-0.00886,-0.00268,0.00173,-0.004,-0.00416,-0.00139,-0.00012
,0.1449,0.11575,0.20363,0.40168,0.8004,0.8745,0.66593,0.48759,0.58011,0.89826
US CPI Urban Consumers Less Food & Energy MoM SA,-0.24254,-1.01357,-2.61018,-4.26359,-4.96722,5.23236,4.5487,2.85159,1.21575,0.48933
,0.23899,0.0121,0.00039,2e-05,0,0,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00239,-0.0068,-0.01568,-0.02866,-0.04115,0.04295,0.04472,0.03156,0.0144,0.00529
,0.83737,0.76553,0.70514,0.61327,0.4697,0.46404,0.36813,0.32678,0.28634,0.29663
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-2e-05,-0.00012,-0.00033,-0.00044,-0.0003,0.00029,7e-05,-2e-05,-1e-05,0
,0.40404,0.00392,3e-05,5e-05,0.00522,0.00813,0.43138,0.74326,0.70448,0.84311
US Initial Jobless Claims SA,-0.00105,-0.00172,-0.00182,-0.00139,-0.00075,0.00062,0.00013,-4e-05,-1e-05,1e-05
,0,0,0,1e-05,0.01505,0.05188,0.62967,0.84106,0.92028,0.64744
US PPI Final Demand Less Foods and Energy MoM SA,-0.3528,-0.6739,-0.9385,-0.93623,-0.60359,0.55954,0.16596,-0.01158,-0.01894,-0.01012
,0.00023,0.00033,0.00594,0.04465,0.19687,0.24569,0.68427,0.96505,0.86439,0.8078
University of Michigan Consumer Sentiment Index,-0.08282,-0.18609,-0.30709,-0.35513,-0.27567,0.26905,0.13647,0.04971,0.01697,0.00633
,0.00021,2e-05,0.00012,0.00112,0.01162,0.01685,0.15197,0.42024,0.51202,0.51452
R^2,0.24359,0.20381,0.11907,0.07734,0.05362,0.05081,0.03671,0.03279,0.03283,0.03524
RMSE,0.2264,0.44343,0.80665,1.10346,1.10754,1.14146,0.96681,0.62622,0.26274,0.09857
nObs,989,989,989,989,989,989,989,989,989,989
