Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00206,-0.00892,-0.02115,-0.03284,-0.03725,0.03803,0.03342,0.02294,0.01229,0.00587
,0.34969,0.10056,0.0572,0.04444,0.04179,0.04245,0.05065,0.05831,0.05752,0.05519
Federal Funds Target Rate - Upper Bound,-0.03583,-0.11488,-0.26246,-0.37201,-0.3476,0.34952,0.23195,0.11479,0.03729,0.00095
,0.93715,0.91822,0.9087,0.9119,0.92645,0.92779,0.94745,0.96328,0.97765,0.9988
GDP US Chained 2012 Dollars QoQ SAAR,0.00474,0.00823,0.01523,0.01188,-0.0081,0.00967,0.02476,0.01641,-0.00144,-0.00854
,0.94721,0.9628,0.96634,0.98213,0.98911,0.98731,0.96441,0.9667,0.99451,0.93145
ISM Manufacturing PMI SA,-0.00619,-0.01547,-0.03444,-0.05875,-0.07788,0.08044,0.08031,0.05749,0.02879,0.01196
,0.33609,0.32931,0.28835,0.21769,0.14459,0.14125,0.10753,0.10392,0.12713,0.18042
US CPI Urban Consumers MoM SA,-0.07884,-0.28903,-0.76215,-1.40581,-1.95631,2.01771,2.08892,1.5578,0.83448,0.37474
,0.43232,0.24243,0.13194,0.05865,0.01887,0.01805,0.00733,0.00478,0.00464,0.00719
US Durable Goods New Orders Industries MoM SA,-0.00244,-0.00651,-0.01391,-0.02224,-0.02759,0.02823,0.02708,0.0194,0.01022,0.00453
,0.67644,0.65026,0.63592,0.60652,0.56833,0.56871,0.54907,0.54464,0.55013,0.5755
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-2e-05,-7e-05,-0.00018,-0.00024,-0.00021,0.00021,0.00012,5e-05,2e-05,1e-05
,0.12698,0.00772,0.00163,0.00293,0.02269,0.02563,0.16456,0.39434,0.52038,0.59356
US Initial Jobless Claims SA,-0.00029,-0.00064,-0.00104,-0.00117,-0.00086,0.00083,0.00036,0.0001,4e-05,3e-05
,0,0,0,0,0.00111,0.00209,0.14206,0.55703,0.64757,0.56176
University of Michigan Consumer Sentiment Index,-0.03074,-0.09258,-0.19204,-0.24901,-0.20325,0.2023,0.10744,0.04378,0.01931,0.00995
,0.00572,0.00074,0.00062,0.0025,0.02737,0.03201,0.21164,0.47238,0.55277,0.51787
R^2,0.10127,0.0946,0.0762,0.05729,0.03664,0.03494,0.02216,0.0183,0.01734,0.01599
RMSE,0.1135,0.27947,0.57165,0.83981,0.94053,0.96329,0.87904,0.62281,0.33254,0.1573
nObs,875,875,875,875,875,875,875,875,875,875
