Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00985,-0.02383,-0.0431,-0.05336,-0.0446,0.04368,0.02609,0.01413,0.00855,0.00473
,0.29345,0.09809,0.03203,0.03185,0.06369,0.07415,0.19749,0.30615,0.22907,0.14582
Federal Funds Target Rate - Upper Bound,-0.79439,-2.25486,-4.37924,-5.29186,-3.73752,3.77159,1.37458,0.19133,0.06989,0.06208
,0.68097,0.44706,0.28987,0.3011,0.45029,0.45395,0.74167,0.94635,0.96194,0.92612
GDP US Chained 2012 Dollars QoQ SAAR,0.03419,0.00419,-0.08815,-0.24293,-0.41404,0.41324,0.49598,0.42869,0.27519,0.13401
,0.91066,0.99286,0.89249,0.76333,0.59584,0.60282,0.45075,0.33913,0.23369,0.20457
ISM Manufacturing PMI SA,0.03021,0.02151,-0.02522,-0.07634,-0.09217,0.09782,0.07683,0.04125,0.01257,0.00202
,0.26991,0.60872,0.667,0.29241,0.18898,0.17058,0.19367,0.30599,0.54466,0.83136
US CPI Urban Consumers MoM SA,-0.41977,-1.15733,-2.74897,-5.05123,-7.28872,7.23206,7.934,6.38811,3.75639,1.60696
,0.32549,0.07752,0.00269,1e-05,0,0,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00329,-0.00287,-0.0018,-0.00321,-0.00828,0.00905,0.01268,0.01056,0.0058,0.00302
,0.89435,0.93997,0.97291,0.96097,0.89634,0.88875,0.81276,0.77233,0.75781,0.72506
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-0.00022,-0.00038,-0.00045,-0.0004,-0.00024,0.00021,6e-05,-1e-05,-0,0
,0,0,1e-05,0.00137,0.04885,0.07953,0.57297,0.93322,0.9334,0.92899
US Initial Jobless Claims SA,-0.00226,-0.00275,-0.00197,-0.00075,-0.00014,8e-05,5e-05,7e-05,4e-05,2e-05
,0,0,0,0.03609,0.68386,0.81261,0.87636,0.71649,0.67927,0.63975
University of Michigan Consumer Sentiment Index,-0.15428,-0.22368,-0.23937,-0.21364,-0.17502,0.17844,0.12998,0.07206,0.02566,0.00824
,0.00112,0.00208,0.01804,0.08766,0.14807,0.14721,0.20221,0.29974,0.47338,0.61447
R^2,0.26883,0.20396,0.09231,0.04892,0.06137,0.05812,0.08482,0.11071,0.13816,0.12384
RMSE,0.48259,0.74064,1.03316,1.27786,1.23641,1.25782,1.04154,0.71019,0.36588,0.16724
nObs,875,875,875,875,875,875,875,875,875,875
