Var,<0.0%,<0.5%,<1.0%,<1.5%,<2.0%,2.0%>,2.5%>,3.0%>,3.5%>,4.0%>
Conference Board Consumer Confidence SA 1985=100,-0.00174,-0.01407,-0.03687,-0.05514,-0.05479,0.05594,0.04076,0.02293,0.00985,0.00373
,0.68732,0.09939,0.019,0.01084,0.01315,0.01422,0.04019,0.07987,0.07538,0.06987
Federal Funds Target Rate - Upper Bound,0.00833,-0.50127,-1.59864,-2.25813,-1.67744,1.66333,0.58252,0.03886,-0.00733,0.00274
,0.99253,0.77557,0.62106,0.61194,0.71206,0.72304,0.8867,0.9885,0.99487,0.99484
GDP US Chained 2012 Dollars QoQ SAAR,-0.03551,-0.08224,-0.16415,-0.25807,-0.32251,0.32826,0.31739,0.22586,0.11581,0.0502
,0.80007,0.76676,0.74752,0.71313,0.65272,0.65739,0.62253,0.59521,0.5195,0.45285
ISM Manufacturing PMI SA,0.00025,-0.01058,-0.04263,-0.0795,-0.09756,0.10369,0.09109,0.05485,0.01983,0.00603
,0.98399,0.67107,0.35227,0.20763,0.12999,0.11915,0.1161,0.15121,0.21974,0.31536
US CPI Urban Consumers MoM SA,-0.16594,-0.43323,-1.13043,-2.47541,-4.10457,4.35426,4.85682,3.47279,1.50806,0.49788
,0.39835,0.26486,0.1138,0.01197,5e-05,3e-05,0,0,0,0
US Durable Goods New Orders Industries MoM SA,-0.00244,-0.00733,-0.01734,-0.03132,-0.04391,0.04584,0.0469,0.03278,0.01489,0.00549
,0.83111,0.74532,0.67624,0.5838,0.45191,0.44695,0.37185,0.34376,0.30927,0.31337
US Employees on Nonfarm Payrolls Total MoM Net Change SA,-2e-05,-0.00012,-0.00033,-0.00044,-0.0003,0.00029,8e-05,-2e-05,-1e-05,0
,0.40129,0.00386,3e-05,6e-05,0.00629,0.0097,0.43658,0.79584,0.76482,0.81883
US Initial Jobless Claims SA,-0.00106,-0.00173,-0.00184,-0.00141,-0.00075,0.00062,0.00012,-4e-05,-1e-05,1e-05
,0,0,0,1e-05,0.01736,0.0583,0.67458,0.81111,0.88951,0.68696
University of Michigan Consumer Sentiment Index,-0.08065,-0.18287,-0.30192,-0.34033,-0.24307,0.23427,0.09228,0.01642,0.00238,0.00173
,0.00022,2e-05,0.00014,0.0018,0.0288,0.04128,0.35568,0.80315,0.93187,0.86711
R^2,0.26242,0.21049,0.11129,0.06654,0.04824,0.04555,0.04217,0.0445,0.04613,0.03792
RMSE,0.22211,0.43918,0.80769,1.11177,1.13519,1.17227,1.02121,0.6733,0.28475,0.10592
nObs,875,875,875,875,875,875,875,875,875,875
